,Title,Subtitle,Link
0,Pitchfork Reviews Your Kids’ Living Room Performance,Ainsley and Noah’s Live from the LR is a sonic ambush that redefines house folk.,https://thebelladonnacomedy.com/pitchfork-reviews-your-kids-living-room-performance-c3daacd7c899?source=home---------0------------------0----------
1,"Get inspired by the winners of Wiki Loves Monuments, the world’s largest photo contest",15 awe-inducing images were chosen from hundreds of thousands of submissions.,https://medium.com/freely-sharing-the-sum-of-all-knowledge/get-inspired-by-the-winners-of-wiki-loves-monuments-the-worlds-largest-photo-contest-978f937ee66c?source=home---------1------------------0----------
2,I Hope Frank Ocean is Okay,Frank’s Coachella headlining performance was not so different from the last performances by the late Amy Winehouse.,https://medium.com/@AkilahObviously/i-hope-frank-ocean-is-okay-c396820ecf22?source=home---------2------------------0----------
3,I’m an ER doctor: Here’s what I found when I asked ChatGPT to diagnose my patients,"ChatGPT recently passed the U.S. Medical Licensing Exam, but using it for a real-world medical diagnosis would quickly turn deadly.",https://inflecthealth.medium.com/im-an-er-doctor-here-s-what-i-found-when-i-asked-chatgpt-to-diagnose-my-patients-7829c375a9da?source=home---------3------------------0----------
4,The Real Reason Women Aren’t Getting Ahead in Tech: “She’s Not Strategic”,"Before I explain “She’s not strategic,” I’d like to give you a bit of background. I’m 38 years old and a two-time CMO for tech companies…",https://medium.com/swlh/the-real-reason-women-arent-getting-ahead-in-tech-she-s-not-strategic-5ba98ad91f77?source=home---------4------------------0----------
5,Progressive Cities Aren’t Living Up To Their Values,How Ideology is getting in the way of good city building,https://cobylefko.medium.com/progressive-cities-arent-living-up-to-their-values-f7bbdd4b8e22?source=home---------5------------------0----------
6,Here’s How Two New Orleans Teenagers Found a New Proof of the Pythagorean Theorem,An inspirational example of how elementary math is open to everyone,https://keith-mcnulty.medium.com/heres-how-two-new-orleans-teenagers-found-a-new-proof-of-the-pythagorean-theorem-b4f6e7e9ea2d?source=home---------6------------------0----------
7,How to Build Credibility at Work,Building credibility requires more than just competence and knowledge.,https://betterprogramming.pub/how-to-build-credibility-at-work-95a7a978ed7f?source=home---------7------------------0----------
8,"I Won the 1968 Boston Marathon. And Ran Many More. After the Bombs, Everything Changed",There’s a time to run for the win. And a time to realize that other things are more important.,https://medium.com/runners-life/the-author-won-the-1968-boston-marathon-and-ran-many-more-after-the-bombs-everything-changed-d4ab2f44205?source=home---------8------------------0----------
9,What we’re reading: Aren’t humans amazing sometimes?,A few stories you may have missed this week,https://blog.medium.com/what-were-reading-aren-t-humans-amazing-sometimes-94f8a3b37394?source=home---------9------------------0----------
10,Creating a Blackout Poetry Art Show,How I Wrote 22 Giant Blackout Poems in 3 Weeks,https://medium.com/write-wild/creating-a-blackout-poetry-art-show-d0ee57828398?source=home---------10------------------0----------
11,Stewards of the Land: Ranchers on the Front Lines of Conservation,"Every morning, ranchers across the country are up and moving before most of us have even had our morning coffee. To them, it’s more than a…",https://medium.com/usfws/stewards-of-the-land-ranchers-on-the-front-lines-of-conservation-9f0f72c58c7b?source=home---------11------------------0----------
12,Resisting Deterministic Thinking,"AI is here and it will change everything! OMG the sky is falling! Programmers are now obsolete. No, they are needed more than ever before…",https://zephoria.medium.com/resisting-deterministic-thinking-52ef8d78248c?source=home---------12------------------0----------
13,Seven Young Black Women Writers To Celebrate And Support During National Poetry Month,"A new cohort of Black women poets, writers, and creatives are throwing the genre of poetry on its head, and I’m here for it.",https://zora.medium.com/seven-young-black-women-writers-to-celebrate-and-support-during-national-poetry-month-b73725865f6a?source=home---------13------------------0----------
14,It’s Not in the Stars to Hold Our Destiny But in Ourselves,"A story about life, loss, and the art of reinvention",https://medium.com/personal-growth/its-not-in-the-stars-to-hold-our-destiny-but-in-ourselves-33f3cdba4339?source=home---------14------------------0----------
15,Wow and Whatever,And Why I’m Not Scared of AI,https://medium.com/the-generator/wow-and-whatever-60ca4f49d88e?source=home---------15------------------0----------
16,The TikTok Teens Go To Washington,TikTok videos underscore the gap in expertise between those who seek to regulate technology and those who use it.,https://points.datasociety.net/the-tiktok-teens-go-to-washington-65efb80a6c13?source=home---------16------------------0----------
